name,type,detailed_type,categ_id
F500351673-DP CELDAS CK 23 ECT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500351674 CELDA A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
F500351674 CELDA L,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
F500351674-DP CELDAS CK 23 ECT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500451139 PAD CK 23 ECT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500451269 PAD CK 23 ECT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
FABRICACION SUAJE,Consumible,Consumible,Servicios
FABULOSO 4LTS,Consumible,Consumible,Cartón / Consumibles (Cartón)
"FAJA DE 3 PASOS, 10"" PULGADAS",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
FCA FORM,Consumible,Consumible,Servicios
FEDERBEIN. Celda. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FEDERBEIN. Charola Armada.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
FEDERBEIN. Divisor. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FELPA AUTO - DUNNAGE 40X,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FELPA TAPA - DUNNAGE 40X,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FFF,Servicio,Servicio,Servicios
FIANZA,Consumible,Consumible,Todos
FIBRA ESPONJA SCOTCH BRITE USO RUDO,Consumible,Consumible,Cartón / Consumibles (Cartón)
FILAMENTO  20/3,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
FINIQUITOS Y VACACIONES,Servicio,Servicio,Servicios
FIP. WL 74 Rear. Rack con Dunnage. CORTE de Plastilona Azul.,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FIP. WL 74 Rear. Rack con Dunnage. CORTE de Plastilona Blanca.,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FLASH COAT VIVID B4  AZUL INTENSO - 19LTS,Consumible,Consumible,Retornable / Consumibles (Retornable)
FLEJE,Consumible,Consumible,Cartón / Consumibles (Cartón)
FLETE,Servicio,Servicio,Servicios
FLETE,Servicio,Servicio,Servicios
FLETE COMPONENTES BACK UP T90,Consumible,Consumible,Servicios
FLETE RETORNABLE,Servicio,Servicio,Todos
FLETES,Consumible,Consumible,Todos
FLETES CARTON,Servicio,Servicio,Todos
"FLEXOMETRO C/IMPACTO 3/4"" X 5MTS",Consumible,Consumible,Cartón / Consumibles (Cartón)
FLOOR CONSOL CELDA A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL CELDA ARMADA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL CELDA B,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL FOAM,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL HSC A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL HSC ARMADA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL HSC B,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOL TAPA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
FLOOR CONSOLE,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
FLYER CUBREBOCAS,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
"FOAM .2LB EN 1.5"" 544MM*101MM",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
FOAM 1.7 LBS 544 MM DE L X 101 MM DE A X 19 MM DE ESP. CON ADHESIVO X LAS 2CARAS,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
FOAM 1.7 LBS 544 MM DE L X 101 MM DE A X 19.05 MM DE ESP. CON ADHESIVO X LAS 2CARAS,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
FOAM 1.7 LBS 544 MM DE L X 101 MM DE A X 38.1 MM DE ESP. CON ADHESIVO X LAS 2CARAS,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
FOAM 1/4 CON CORTE A 1M X 1.12M,Producto almacenable,Producto almacenable,Todos
FOAM 170mm x 280mm densidad 1.2,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
FOAM 76mm x 280mm densidad 1.2,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
"FOAM CAJA 200MM X 1100MM X 2.75""",Producto almacenable,Producto almacenable,Cartón / Producto Comercialización (Cartón)
FOAM E SHIFTER TOP FINISH PANEL,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FOAM PISO 2422,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FOAM PISO LENTE INNER,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
FOAM PISO P/ ROPACK 4548,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
